trade_id,entry_time,exit_time,duration_days,side,entry_price,exit_price,pnl,return_pct,trade_result,exit_reason
TRD_000001,2020-08-05 12:00,2020-08-11 16:00,6.17,LONG,11664.8,11383.63,-260.8,-2.61%,LOSS,sell_signal
TRD_000002,2020-08-14 16:00,2020-08-19 04:00,4.5,LONG,11805.48,11819.79,-7.68,-0.08%,LOSS,sell_signal
TRD_000003,2020-08-31 12:00,2020-09-03 04:00,2.67,LONG,11745.68,11397.42,-307.72,-3.16%,LOSS,sell_signal
TRD_000004,2020-09-15 08:00,2020-09-21 00:00,5.67,LONG,10824.4,10959.47,98.63,1.05%,WIN,sell_signal
TRD_000005,2020-09-26 00:00,2020-09-30 00:00,4.0,LONG,10708.07,10738.86,8.3,0.09%,WIN,sell_signal
TRD_000006,2020-10-01 08:00,2020-10-01 16:00,0.33,LONG,10906.43,10614.55,-273.87,-2.87%,LOSS,sell_signal
TRD_000007,2020-10-05 20:00,2020-10-07 16:00,1.83,LONG,10795.45,10647.14,-145.55,-1.57%,LOSS,sell_signal
TRD_000008,2020-10-08 12:00,2020-10-14 08:00,5.83,LONG,10900.23,11359.51,365.3,4.01%,WIN,sell_signal
TRD_000009,2020-10-19 04:00,2020-10-26 16:00,7.5,LONG,11465.83,13000.6,1248.28,13.17%,WIN,sell_signal
TRD_000010,2020-10-27 08:00,2020-10-29 16:00,2.33,LONG,13453.83,13488.46,6.13,0.06%,WIN,sell_signal
TRD_000011,2020-10-31 00:00,2020-11-02 20:00,2.83,LONG,13495.59,13545.31,18.03,0.17%,WIN,sell_signal
TRD_000012,2020-11-04 00:00,2020-11-09 04:00,5.17,LONG,13901.68,15298.67,1057.6,9.84%,WIN,sell_signal
TRD_000013,2020-11-09 08:00,2020-11-09 12:00,0.17,LONG,15807.13,14996.46,-628.51,-5.32%,LOSS,stop_loss
TRD_000014,2020-11-09 16:00,2020-11-15 16:00,6.0,LONG,15364.61,15850.53,330.81,2.96%,WIN,sell_signal
TRD_000015,2020-11-16 04:00,2020-11-23 16:00,7.5,LONG,16240.58,18438.91,1533.28,13.32%,WIN,sell_signal
TRD_000016,2020-11-23 20:00,2020-11-26 08:00,2.5,LONG,18373.51,17094.87,-932.81,-7.15%,LOSS,stop_loss
TRD_000017,2020-11-30 08:00,2020-12-05 20:00,5.5,LONG,18606.53,19141.92,323.87,2.67%,WIN,sell_signal
TRD_000018,2020-12-06 12:00,2020-12-08 20:00,2.33,LONG,19131.57,18318.61,-552.66,-4.45%,LOSS,sell_signal
TRD_000019,2020-12-13 04:00,2020-12-22 08:00,9.17,LONG,19253.45,23112.54,2355.17,19.82%,WIN,sell_signal
TRD_000020,2020-12-23 00:00,2021-01-04 20:00,12.83,LONG,23713.83,31979.11,4928.35,34.62%,WIN,sell_signal
TRD_000021,2021-01-05 20:00,2021-01-11 00:00,5.17,LONG,33959.71,35427.6,789.2,4.12%,WIN,sell_signal
TRD_000022,2021-01-14 12:00,2021-01-15 12:00,1.0,LONG,39557.87,35600.04,-2034.28,-10.2%,LOSS,stop_loss
TRD_000023,2021-01-15 20:00,2021-01-17 00:00,1.17,LONG,36753.24,36166.15,-321.79,-1.8%,LOSS,sell_signal
TRD_000024,2021-01-29 08:00,2021-01-29 16:00,0.33,LONG,37036.43,34308.27,-1330.14,-7.56%,LOSS,stop_loss
TRD_000025,2021-01-29 20:00,2021-01-31 08:00,1.5,LONG,34262.48,33553.16,-368.97,-2.27%,LOSS,sell_signal
TRD_000026,2021-02-03 00:00,2021-02-08 08:00,5.33,LONG,36414.39,39411.25,1275.3,8.02%,WIN,sell_signal
TRD_000027,2021-02-08 12:00,2021-02-16 00:00,7.5,LONG,43729.43,49609.14,2272.43,13.23%,WIN,sell_signal
TRD_000028,2021-02-16 12:00,2021-02-23 04:00,6.67,LONG,48971.6,49625.44,220.48,1.13%,WIN,sell_signal
TRD_000029,2021-03-03 08:00,2021-03-04 16:00,1.33,LONG,51681.83,47985.96,-1444.31,-7.34%,LOSS,stop_loss
TRD_000030,2021-03-07 20:00,2021-03-15 16:00,7.83,LONG,50987.04,56553.39,1950.9,10.71%,WIN,sell_signal
TRD_000031,2021-03-19 12:00,2021-03-22 00:00,2.5,LONG,58989.19,57546.36,-533.27,-2.64%,LOSS,sell_signal
TRD_000032,2021-03-29 08:00,2021-04-03 20:00,5.5,LONG,57871.68,57034.82,-323.0,-1.64%,LOSS,sell_signal
TRD_000033,2021-04-09 12:00,2021-04-16 08:00,6.83,LONG,58257.47,60835.55,815.34,4.22%,WIN,sell_signal
TRD_000034,2021-04-30 12:00,2021-05-04 12:00,4.0,LONG,57197.21,53783.19,-1240.72,-6.16%,LOSS,stop_loss
TRD_000035,2021-05-06 12:00,2021-05-11 16:00,5.17,LONG,57105.62,56591.96,-207.54,-1.1%,LOSS,sell_signal
TRD_000036,2021-06-02 12:00,2021-06-04 20:00,2.33,LONG,38052.11,36817.95,-642.74,-3.44%,LOSS,sell_signal
TRD_000037,2021-06-10 04:00,2021-06-13 00:00,2.83,LONG,36973.23,34857.34,-1067.5,-5.92%,LOSS,stop_loss
TRD_000038,2021-06-13 04:00,2021-06-13 12:00,0.33,LONG,35290.6,36024.16,318.52,1.88%,WIN,sell_signal
TRD_000039,2021-06-13 20:00,2021-06-17 20:00,4.0,LONG,39032.28,38081.54,-455.36,-2.63%,LOSS,sell_signal
TRD_000040,2021-06-29 04:00,2021-07-01 12:00,2.33,LONG,34859.72,33422.51,-727.13,-4.32%,LOSS,sell_signal
TRD_000041,2021-07-04 08:00,2021-07-05 08:00,1.0,LONG,35522.99,33369.95,-1007.64,-6.25%,LOSS,stop_loss
TRD_000042,2021-07-06 04:00,2021-07-06 08:00,0.17,LONG,34885.31,34057.09,-388.39,-2.57%,LOSS,sell_signal
TRD_000043,2021-07-23 20:00,2021-08-02 16:00,9.83,LONG,33644.18,39166.1,2383.05,16.2%,WIN,sell_signal
TRD_000044,2021-08-07 00:00,2021-08-13 16:00,6.67,LONG,43704.97,46445.92,1036.95,6.07%,WIN,sell_signal
TRD_000045,2021-08-14 04:00,2021-08-17 12:00,3.33,LONG,47630.4,45716.28,-764.27,-4.21%,LOSS,sell_signal
TRD_000046,2021-08-20 16:00,2021-08-24 20:00,4.17,LONG,48698.77,47659.71,-404.97,-2.33%,LOSS,sell_signal
TRD_000047,2021-08-29 16:00,2021-08-31 08:00,1.67,LONG,48813.91,47955.12,-332.09,-1.96%,LOSS,sell_signal
TRD_000048,2021-09-02 12:00,2021-09-07 12:00,5.0,LONG,49555.56,46642.07,-1010.14,-6.07%,LOSS,stop_loss
TRD_000049,2021-09-15 12:00,2021-09-19 20:00,4.33,LONG,48302.49,47227.58,-378.55,-2.42%,LOSS,sell_signal
